"Date ","Closing Price ","Open ","Daily High ","Daily Low "
"3/1/2017 ",5636,5645,5705,5624
"2/28/2017 ",5559,5602,5615,5523
"2/27/2017 ",5593,5596,5677,5586
"2/24/2017 ",5599,5640,5666,5574
"2/23/2017 ",5658,5620,5726,5618
"2/22/2017 ",5584,5674,5701,5564
"2/21/2017 ",5666,5617,5731,5610
"2/20/2017 ",5618,5590,5642,5570
"2/17/2017 ",5581,5573,5588,5510
"2/16/2017 ",5565,5574,5624,5513
"2/15/2017 ",5575,5582,5625,5556
"2/14/2017 ",5597,5575,5646,5553
"2/13/2017 ",5559,5668,5681,5541
"2/10/2017 ",5670,5566,5688,5559
"2/9/2017 ",5563,5530,5592,5523
"2/8/2017 ",5512,5450,5568,5444
"2/7/2017 ",5505,5591,5598,5458
"2/6/2017 ",5572,5685,5713,5565
"2/3/2017 ",5681,5692,5730,5639
"2/2/2017 ",5656,5653,5745,5633
"2/1/2017 ",5680,5555,5683,5536
"1/31/2017 ",5570,5525,5600,5490
"1/30/2017 ",5523,5547,5570,5497
"1/27/2017 ",5552,5609,5650,5486
"1/26/2017 ",5624,5539,5655,5521
"1/25/2017 ",5508,5524,5565,5475
"1/24/2017 ",5544,5542,5587,5507
"1/23/2017 ",5523,5570,5575,5465
"1/20/2017 ",5549,5433,5580,5418
"1/19/2017 ",5416,5429,5477,5390
"1/18/2017 ",5392,5548,5590,5377
"1/17/2017 ",5547,5574,5695,5540
"1/16/2017 ",5586,5564,5592,5519
"1/13/2017 ",5545,5600,5621,5528
"1/12/2017 ",5601,5519,5643,5501
"1/11/2017 ",5510,5380,5567,5370
"1/10/2017 ",5364,5495,5536,5358
"1/9/2017 ",5494,5681,5700,5474
"1/6/2017 ",5710,5688,5747,5628
"1/5/2017 ",5689,5635,5735,5601
"1/4/2017 ",5646,5573,5655,5533
"1/3/2017 ",5547,5705,5837,5530
"12/30/2016 ",5682,5700,5720,5646
"12/29/2016 ",5614,5601,5663,5591
"12/28/2016 ",5622,5606,5656,5589
"12/27/2016 ",5609,5518,5715,5504
"12/23/2016 ",5516,5484,5525,5426
"12/22/2016 ",5505,5455,5523,5405
"12/21/2016 ",5446,5552,5587,5432
"12/20/2016 ",5535,5502,5592,5475
"12/19/2016 ",5492,5540,5580,5469
"12/16/2016 ",5521,5411,5538,5371
"12/15/2016 ",5402,5376,5450,5315
"12/14/2016 ",5464,5519,5576,5452
"12/13/2016 ",5564,5551,5643,5519
"12/12/2016 ",5601,5719,5726,5557
"12/9/2016 ",5417,5396,5445,5383
"12/8/2016 ",5372,5299,5398,5289
"12/7/2016 ",5338,5361,5425,5302
"12/6/2016 ",5394,5467,5495,5349
"12/5/2016 ",5490,5444,5534,5438
"12/2/2016 ",5419,5357,5439,5282
"12/1/2016 ",5419,5212,5453,5151
"11/30/2016 ",5037,4715,5046,4709
"11/29/2016 ",4656,4786,4803,4593
"11/28/2016 ",4840,4653,4879,4653
"11/25/2016 ",4713,4860,4867,4699
"11/24/2016 ",4904,4880,4924,4878
"11/23/2016 ",4905,4918,4949,4854
"11/22/2016 ",4868,4906,4997,4815
"11/21/2016 ",4900,4760,4914,4728
"11/18/2016 ",4658,4585,4689,4574
"11/17/2016 ",4666,4645,4760,4644
"11/16/2016 ",4683,4671,4753,4623
"11/15/2016 ",4646,4527,4656,4507
"11/14/2016 ",4466,4492,4500,4353
"11/11/2016 ",4470,4562,4583,4421
"11/10/2016 ",4601,4679,4687,4567
"11/9/2016 ",4630,4538,4694,4534
"11/8/2016 ",4629,4631,4669,4559
"11/7/2016 ",4595,4616,4640,4537
"11/4/2016 ",4556,4613,4656,4505
"11/3/2016 ",4639,4717,4749,4600
"11/2/2016 ",4705,4758,4775,4648
"11/1/2016 ",4827,4910,4915,4770
"10/31/2016 ",4832,4966,4972,4797
"10/28/2016 ",4950,5035,5053,4946
"10/27/2016 ",5061,4999,5091,4989
"10/26/2016 ",4987,5034,5071,4964
"10/25/2016 ",5098,5150,5185,5057
"10/24/2016 ",5095,5182,5202,5049
"10/21/2016 ",5170,5132,5190,5117
"10/20/2016 ",5136,5230,5240,5125
"10/19/2016 ",5283,5224,5313,5211
"10/18/2016 ",5157,5189,5207,5124
"10/17/2016 ",5147,5156,5227,5114
"10/14/2016 ",5161,5240,5253,5146
"10/13/2016 ",5203,5143,5216,5093
"10/12/2016 ",5189,5284,5287,5157
"10/11/2016 ",5229,5315,5324,5211
"10/10/2016 ",5322,5177,5376,5160
"10/7/2016 ",5183,5276,5287,5139
"10/6/2016 ",5253,5158,5264,5131
"10/5/2016 ",5189,5137,5209,5128
"10/4/2016 ",5100,5053,5137,5031
"9/30/2016 ",4909,4876,4927,4819
"9/29/2016 ",4913,4840,4983,4795
"9/28/2016 ",4756,4617,4763,4573
"9/27/2016 ",4592,4694,4709,4561
"9/26/2016 ",4740,4595,4767,4572
"9/23/2016 ",4585,4728,4825,4572
"9/22/2016 ",4745,4726,4785,4704
"9/21/2016 ",4674,4653,4710,4638
"9/20/2016 ",4571,4584,4629,4509
"9/19/2016 ",4614,4656,4693,4591
"9/16/2016 ",4588,4619,4633,4549
"9/15/2016 ",4669,4610,4697,4565
"9/14/2016 ",4622,4721,4750,4603
"9/13/2016 ",4726,4778,4797,4703
"9/12/2016 ",4833,4719,4861,4687
"9/9/2016 ",4812,4938,4954,4797
"9/8/2016 ",4988,4883,4994,4820
"9/7/2016 ",4784,4778,4809,4696
"9/6/2016 ",4712,4779,4786,4627
"9/5/2016 ",4762,4707,4938,4699
"9/2/2016 ",4686,4552,4697,4539
"9/1/2016 ",4555,4711,4722,4554
"8/31/2016 ",4699,4830,4833,4690
"8/30/2016 ",4841,4967,4968,4825
"8/29/2016 ",4939,4909,4957,4897
"8/26/2016 ",4972,4953,5076,4910
"8/25/2016 ",4942,4908,4968,4865
"8/24/2016 ",4904,4914,4987,4867
"8/23/2016 ",4996,4885,5017,4848
"8/22/2016 ",4939,4993,5017,4916
"8/19/2016 ",5071,5117,5118,5030
"8/18/2016 ",5092,4995,5095,4956
"8/17/2016 ",4950,4890,4977,4856
